,Pokemon Number,Stat Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Mega,First Type,Second Type,Species,First Ability,Second Ability,Hidden Ability,Generation,Egg Group 1,Egg Group 2,Is Sub Legendary,Is Legendary,Is Mythical
Ampharos(Mega Ampharos),181,610,90,95,105,165,110,45,True,4,3,Light Pokémon,141,153,153,6,6,11,False,False,False
Bellossom,182,490,75,80,95,90,100,50,False,10,13,Flower Pokémon,27,153,92,2,8,12,False,False,False
Marill,183,250,70,20,50,20,50,40,False,19,5,Aqua Mouse Pokémon,265,96,207,2,5,14,False,False,False
Azumarill,184,420,100,50,80,60,80,50,False,19,5,Aqua Rabbit Pokémon,265,96,207,2,5,14,False,False,False
Sudowoodo,185,410,70,100,115,30,65,30,False,17,13,Imitation Pokémon,247,198,191,2,10,12,False,False,False
Politoed,186,500,90,75,75,90,100,70,False,19,13,Frog Pokémon,285,43,55,2,14,12,False,False,False
Hoppip,187,250,35,35,40,35,55,50,False,10,8,Cottonweed Pokémon,27,119,108,2,5,8,False,False,False
Skiploom,188,340,55,45,50,45,65,80,False,10,8,Cottonweed Pokémon,27,119,108,2,5,8,False,False,False
Jumpluff,189,460,75,55,70,55,95,110,False,10,8,Cottonweed Pokémon,27,119,108,2,5,8,False,False,False
Aipom,190,360,55,70,55,40,55,85,False,14,13,Long Tail Pokémon,201,165,222,2,6,12,False,False,False
Sunkern,191,180,30,30,30,30,30,30,False,10,13,Seed Pokémon,27,228,58,2,8,12,False,False,False
Sunflora,192,425,75,75,55,105,85,30,False,10,13,Sun Pokémon,27,228,58,2,8,12,False,False,False
Yanma,193,390,65,65,45,75,45,95,False,1,8,Clear Wing Pokémon,232,34,75,2,2,12,False,False,False
Wooper,194,210,55,45,45,25,25,15,False,19,11,Water Fish Pokémon,43,285,276,2,6,14,False,False,False
Wooper(Paldean Wooper),194,210,55,45,45,25,25,15,False,15,11,Water Fish Pokémon,169,285,276,2,6,14,False,False,False
Quagsire,195,430,95,85,85,65,65,35,False,19,11,Water Fish Pokémon,43,285,276,2,6,14,False,False,False
Espeon,196,525,65,65,60,130,95,110,False,16,13,Sun Pokémon,257,153,129,2,6,12,False,False,False
Umbreon,197,525,95,65,110,60,130,65,False,2,13,Moonlight Pokémon,257,153,110,2,6,12,False,False,False
Murkrow,198,405,60,85,42,85,42,91,False,2,8,Darkness Pokémon,111,249,174,2,7,12,False,False,False
Slowking,199,490,95,75,80,100,110,30,False,19,16,Royal Pokémon,155,160,195,2,11,14,False,False,False
Slowking(Galarian Slowking),199,490,95,65,80,110,110,30,False,15,16,Royal Pokémon,40,160,195,8,11,14,False,False,False
Misdreavus,200,435,60,60,60,85,85,85,False,9,13,Screech Pokémon,120,153,153,2,1,12,False,False,False
Unown,201,336,48,72,48,72,48,48,False,16,13,Symbol Pokémon,120,153,153,2,13,12,False,False,False
Wobbuffet,202,405,190,33,58,33,58,33,False,16,13,Patient Pokémon,214,153,262,2,1,12,False,False,False
Girafarig,203,455,70,80,65,90,65,85,False,14,16,Long Neck Pokémon,110,58,207,2,6,12,False,False,False
Pineco,204,290,50,65,90,35,35,15,False,1,13,Bagworm Pokémon,247,153,158,2,2,12,False,False,False
Forretress,205,465,75,90,140,60,60,40,False,1,18,Bagworm Pokémon,247,153,158,2,2,12,False,False,False
Dunsparce,206,415,100,70,70,65,65,45,False,14,13,Land Snake Pokémon,212,201,191,2,6,12,False,False,False
Gligar,207,430,65,75,105,35,65,85,False,11,8,FlyScorpion Pokémon,100,206,106,2,2,12,False,False,False
Steelix,208,510,75,85,200,55,65,30,False,18,11,Iron Snake Pokémon,198,247,217,2,10,12,False,False,False
Steelix(Mega Steelix),208,610,75,125,230,55,95,30,True,18,11,Iron Snake Pokémon,202,153,153,6,10,12,False,False,False
Snubbull,209,300,60,80,50,40,40,30,False,5,13,Fairy Pokémon,112,201,191,2,5,6,False,False,False
Granbull,210,450,90,120,75,60,60,45,False,5,13,Fairy Pokémon,112,188,191,2,5,6,False,False,False
Qwilfish,211,440,65,95,85,55,55,85,False,19,15,Balloon Pokémon,169,254,112,2,15,12,False,False,False
Qwilfish(Hisuian Qwilfish),211,440,65,95,85,55,55,85,False,2,15,Balloon Pokémon,169,254,112,2,15,12,False,False,False
Scizor,212,500,70,130,100,55,80,65,False,1,18,Pincer Pokémon,252,261,122,2,2,12,False,False,False
Scizor(Mega Scizor),212,600,70,150,140,65,100,75,True,1,18,Pincer Pokémon,261,153,153,6,2,12,False,False,False
Shuckle,213,505,20,10,230,10,230,5,False,1,17,Mold Pokémon,247,80,35,2,2,12,False,False,False
Heracross,214,500,80,125,75,40,95,85,False,1,6,Single Horn Pokémon,252,89,144,2,2,12,False,False,False
Heracross(Mega Heracross),214,600,80,185,115,40,105,75,True,1,6,Single Horn Pokémon,222,153,153,6,2,12,False,False,False
Sneasel,215,430,55,95,55,35,75,115,False,2,12,Sharp Claw Pokémon,110,117,164,2,6,12,False,False,False
Sneasel(Hisuian Sneasel),215,430,55,95,55,35,75,115,False,6,15,Sharp Claw Pokémon,110,117,164,2,6,12,False,False,False
Teddiursa,216,330,60,80,50,50,50,40,False,14,13,Little Bear Pokémon,165,188,95,2,6,12,False,False,False
Ursaring,217,500,90,130,75,75,75,55,False,14,13,Hibernator Pokémon,89,188,278,2,6,12,False,False,False
Slugma,218,250,40,40,40,70,40,20,False,7,13,Lava Pokémon,132,66,289,2,1,12,False,False,False
Magcargo,219,430,60,50,120,90,80,30,False,7,17,Lava Pokémon,132,66,289,2,1,12,False,False,False
Swinub,220,250,50,50,40,30,30,50,False,12,11,Pig Pokémon,155,226,265,2,6,12,False,False,False
Piloswine,221,450,100,100,80,60,60,50,False,12,11,Swine Pokémon,155,226,265,2,6,12,False,False,False
Corsola,222,410,65,55,95,65,95,35,False,19,17,Coral Pokémon,98,149,195,2,14,16,False,False,False
Corsola(Galarian Corsola),222,410,60,55,100,65,100,30,False,9,13,Coral Pokémon,289,153,41,8,14,16,False,False,False
Remoraid,223,300,35,65,35,65,35,65,False,19,13,Jet Pokémon,98,225,142,2,14,15,False,False,False
Octillery,224,480,75,105,75,105,75,45,False,19,13,Jet Pokémon,248,225,142,2,14,15,False,False,False
Delibird,225,330,45,55,45,65,45,75,False,12,8,Delivery Pokémon,282,98,111,2,6,14,False,False,False
Mantine,226,485,85,40,70,80,140,70,False,19,8,Kite Pokémon,254,285,288,2,14,12,False,False,False
Skarmory,227,465,65,80,140,40,70,70,False,18,8,Armor Bird Pokémon,117,247,289,2,7,12,False,False,False
Houndour,228,330,45,60,30,80,50,65,False,2,7,Dark Pokémon,58,68,278,2,6,12,False,False,False
Houndoom,229,500,75,90,50,110,80,95,False,2,7,Dark Pokémon,58,68,278,2,6,12,False,False,False
Houndoom(Mega Houndoom),229,600,75,90,90,140,90,115,True,2,7,Dark Pokémon,228,153,153,6,6,12,False,False,False
Kingdra,230,540,75,95,95,95,95,85,False,19,3,Dragon Pokémon,254,225,43,2,4,14,False,False,False
Phanpy,231,330,90,60,60,40,40,40,False,11,13,Long Nose Pokémon,165,153,206,2,6,12,False,False,False
Donphan,232,500,90,120,120,60,60,50,False,11,13,Armor Pokémon,247,153,206,2,6,12,False,False,False
Porygon2,233,515,85,80,90,105,95,60,False,14,13,Virtual Pokémon,271,53,5,2,10,12,False,False,False
Stantler,234,465,73,95,62,85,65,85,False,14,13,Big Horn Pokémon,112,75,207,2,6,12,False,False,False
Smeargle,235,250,55,20,35,20,45,75,False,14,13,Painter Pokémon,160,261,142,2,6,12,False,False,False
Tyrogue,236,210,35,35,35,35,35,35,False,6,13,Scuffle Pokémon,89,239,282,2,13,12,False,False,False
Hitmontop,237,455,50,95,95,35,110,70,False,6,13,Handstand Pokémon,112,261,239,2,9,12,False,False,False
Smoochum,238,305,45,30,15,85,65,65,False,12,16,Kiss Pokémon,155,73,99,2,13,12,False,False,False
Elekid,239,360,45,63,37,65,55,95,False,4,13,Electric Pokémon,238,153,282,2,13,12,False,False,False
Magby,240,365,45,75,37,70,55,83,False,7,13,Live Coal Pokémon,66,153,282,2,13,12,False,False,False
Miltank,241,490,95,80,105,40,70,100,False,14,13,Milk Cow Pokémon,265,209,207,2,6,12,False,False,False
Blissey,242,540,255,10,10,75,135,55,False,14,13,Happiness Pokémon,149,212,92,2,5,12,False,False,False
Raikou,243,580,90,85,75,115,100,115,False,4,13,Thunder Pokémon,175,153,110,2,13,12,True,False,False
Entei,244,580,115,115,85,90,75,100,False,7,13,Volcano Pokémon,175,153,110,2,13,12,True,False,False
Suicune,245,580,100,75,115,90,115,85,False,19,13,Aurora Pokémon,175,153,110,2,13,12,True,False,False
Larvitar,246,300,50,64,50,45,50,41,False,17,11,Rock Skin Pokémon,89,153,206,2,11,12,False,False,False
Pupitar,247,410,70,84,70,65,70,51,False,17,11,Hard Shell Pokémon,216,153,153,2,11,12,False,False,False
Tyranitar,248,600,100,134,110,95,100,61,False,17,2,Armor Pokémon,205,153,278,2,11,12,False,False,False
Tyranitar(Mega Tyranitar),248,700,100,164,150,95,120,71,True,17,2,Armor Pokémon,205,153,153,6,11,12,False,False,False
Lugia,249,680,106,90,130,90,154,110,False,16,8,Diving Pokémon,175,153,145,2,13,12,False,True,False
Ho-oh,250,680,106,130,90,110,154,90,False,7,8,Rainbow Pokémon,175,153,195,2,13,12,False,False,False
Celebi,251,600,100,100,100,100,100,100,False,16,10,Time Travel Pokémon,149,153,153,2,13,12,False,False,True
Treecko,252,310,40,45,35,65,55,70,False,10,13,Wood Gecko Pokémon,159,153,277,3,4,11,False,False,False
Grovyle,253,405,50,65,45,85,65,95,False,10,13,Wood Gecko Pokémon,159,153,277,3,4,11,False,False,False
Sceptile,254,530,70,85,65,105,85,120,False,10,13,Forest Pokémon,159,153,277,3,4,11,False,False,False
Sceptile(Mega Sceptile),254,630,70,110,75,145,85,145,True,10,3,Forest Pokémon,123,153,153,6,4,11,False,False,False
Torchic,255,310,45,60,40,70,50,45,False,7,13,Chick Pokémon,23,153,232,3,6,12,False,False,False
Combusken,256,405,60,85,60,85,60,55,False,7,6,Young Fowl Pokémon,23,153,232,3,6,12,False,False,False
Blaziken,257,530,80,120,70,110,70,80,False,7,6,Blaze Pokémon,23,153,232,3,6,12,False,False,False
Blaziken(Mega Blaziken),257,630,80,160,80,130,80,100,True,7,6,Blaze Pokémon,232,153,153,6,6,12,False,False,False
Mudkip,258,310,50,70,50,50,50,40,False,19,13,Mud Fish Pokémon,267,153,43,3,11,14,False,False,False
Marshtomp,259,405,70,85,70,60,70,50,False,19,11,Mud Fish Pokémon,267,153,43,3,11,14,False,False,False
Swampert,260,535,100,110,90,85,90,60,False,19,11,Mud Fish Pokémon,267,153,43,3,11,14,False,False,False
Swampert(Mega Swampert),260,635,100,150,110,95,110,70,True,19,11,Mud Fish Pokémon,254,153,153,6,11,14,False,False,False
Poochyena,261,220,35,55,35,30,30,35,False,2,13,Bite Pokémon,201,188,191,3,6,12,False,False,False
Mightyena,262,420,70,90,70,60,60,70,False,2,13,Bite Pokémon,112,188,144,3,6,12,False,False,False
Zigzagoon,263,240,38,30,41,30,41,60,False,14,13,TinyRaccoon Pokémon,165,80,188,3,6,12,False,False,False
Zigzagoon(Galarian Zigzagoon),263,240,38,30,41,30,41,60,False,2,14,TinyRaccoon Pokémon,165,80,188,8,6,12,False,False,False
Linoone,264,420,78,70,61,50,61,100,False,14,13,Rushing Pokémon,165,80,188,3,6,12,False,False,False
Linoone(Galarian Linoone),264,420,78,70,61,50,61,100,False,2,14,Rushing Pokémon,165,80,188,8,6,12,False,False,False
Wurmple,265,195,45,45,35,20,30,20,False,1,13,Worm Pokémon,219,153,201,3,2,12,False,False,False
Silcoon,266,205,50,35,55,25,25,15,False,1,13,Cocoon Pokémon,216,153,153,3,2,12,False,False,False
Beautifly,267,395,60,70,50,100,50,65,False,1,8,Butterfly Pokémon,252,153,197,3,2,12,False,False,False
Cascoon,268,205,50,35,55,25,25,15,False,1,13,Cocoon Pokémon,216,153,153,3,2,12,False,False,False
Dustox,269,385,60,50,70,50,90,65,False,1,15,Poison Moth Pokémon,219,153,34,3,2,12,False,False,False
Lotad,270,220,40,30,30,40,50,30,False,19,10,Water Weed Pokémon,254,190,160,3,8,14,False,False,False
Lombre,271,340,60,50,50,60,70,50,False,19,10,Jolly Pokémon,254,190,160,3,8,14,False,False,False
Ludicolo,272,480,80,70,70,90,100,70,False,19,10,Carefree Pokémon,254,190,160,3,8,14,False,False,False
Seedot,273,220,40,40,50,30,30,30,False,10,13,Acorn Pokémon,27,58,164,3,6,8,False,False,False
Nuzleaf,274,340,70,70,40,60,40,60,False,10,2,Wily Pokémon,27,58,164,3,6,8,False,False,False
Shiftry,275,480,90,100,60,90,60,80,False,10,2,Wicked Pokémon,27,58,164,3,6,8,False,False,False
Taillow,276,270,40,55,30,30,30,85,False,14,8,TinySwallow Pokémon,89,153,209,3,7,12,False,False,False
Swellow,277,455,60,85,60,75,50,125,False,14,8,Swallow Pokémon,89,153,209,3,7,12,False,False,False
Wingull,278,270,40,30,30,55,30,85,False,19,8,Seagull Pokémon,117,99,190,3,7,14,False,False,False
Pelipper,279,440,60,50,100,95,70,65,False,19,8,Water Bird Pokémon,117,55,190,3,7,14,False,False,False
Ralts,280,198,28,25,25,45,35,40,False,16,5,Feeling Pokémon,257,271,262,3,1,9,False,False,False
Kirlia,281,278,38,35,35,65,55,50,False,16,5,Emotion Pokémon,257,271,262,3,1,9,False,False,False
Gardevoir,282,518,68,65,65,125,115,80,False,16,5,Embrace Pokémon,257,271,262,3,1,9,False,False,False
Gardevoir(Mega Gardevoir),282,618,68,85,65,165,135,100,True,16,5,Embrace Pokémon,166,153,153,6,1,9,False,False,False
Surskit,283,269,40,30,32,50,52,65,False,1,19,Pond Skater Pokémon,254,153,190,3,2,14,False,False,False
Masquerain,284,454,70,60,62,100,82,80,False,1,8,Eyeball Pokémon,112,153,278,3,2,14,False,False,False
Shroomish,285,295,60,40,60,40,60,35,False,10,13,Mushroom Pokémon,60,168,188,3,5,8,False,False,False
Breloom,286,460,60,130,80,60,60,70,False,10,6,Mushroom Pokémon,60,168,261,3,5,8,False,False,False
Slakoth,287,280,60,60,60,35,35,30,False,14,13,Slacker Pokémon,274,153,153,3,6,12,False,False,False
Vigoroth,288,440,80,80,80,55,55,90,False,14,13,Wild Monkey Pokémon,282,153,153,3,6,12,False,False,False
Slaking,289,670,150,160,100,95,65,100,False,14,13,Lazy Pokémon,274,153,153,3,6,12,False,False,False
Nincada,290,266,31,45,90,30,30,40,False,1,11,Trainee Pokémon,34,153,201,3,2,12,False,False,False
Ninjask,291,456,61,90,45,50,50,160,False,1,8,Ninja Pokémon,232,153,108,3,2,12,False,False,False
Shedinja,292,236,1,90,45,30,30,40,False,1,9,Shed Pokémon,295,153,153,3,10,12,False,False,False
Whismur,293,240,64,51,23,51,23,28,False,14,13,Whisper Pokémon,231,153,191,3,6,11,False,False,False
Loudred,294,360,84,71,43,71,43,48,False,14,13,Big Voice Pokémon,231,153,209,3,6,11,False,False,False
Exploud,295,490,104,91,63,91,73,68,False,14,13,Loud Noise Pokémon,231,153,209,3,6,11,False,False,False
Makuhita,296,237,72,60,30,20,30,25,False,6,13,Guts Pokémon,265,89,217,3,9,12,False,False,False
Hariyama,297,474,144,120,60,40,60,50,False,6,13,Arm Thrust Pokémon,265,89,217,3,9,12,False,False,False
Azurill,298,190,50,20,40,20,40,20,False,14,5,Polka Dot Pokémon,265,96,207,3,13,12,False,False,False
Nosepass,299,375,30,45,135,45,90,30,False,17,13,Compass Pokémon,247,133,202,3,10,12,False,False,False
Skitty,300,260,50,45,45,35,35,50,False,14,13,Kitten Pokémon,42,154,296,3,5,6,False,False,False
Delcatty,301,400,70,65,65,55,55,90,False,14,13,Prim Pokémon,42,154,296,3,5,6,False,False,False
Sableye,302,380,50,75,75,65,65,50,False,2,9,Darkness Pokémon,117,234,174,3,9,12,False,False,False
Sableye(Mega Sableye),302,480,50,85,125,85,115,20,True,2,9,Darkness Pokémon,129,153,153,6,9,12,False,False,False
Mawile,303,380,50,85,85,55,55,50,False,18,5,Deceiver Pokémon,100,112,217,3,5,6,False,False,False
Mawile(Mega Mawile),303,480,50,105,125,55,95,50,True,18,5,Deceiver Pokémon,96,153,153,6,5,6,False,False,False
Aron,304,330,50,70,100,40,40,30,False,18,17,Iron Armor Pokémon,247,198,94,3,11,12,False,False,False
Lairon,305,430,60,90,140,50,50,40,False,18,17,Iron Armor Pokémon,247,198,94,3,11,12,False,False,False
Aggron,306,530,70,110,180,60,60,50,False,18,17,Iron Armor Pokémon,247,198,94,3,11,12,False,False,False
Aggron(Mega Aggron),306,630,70,140,230,60,80,50,True,18,13,Iron Armor Pokémon,65,153,153,6,11,12,False,False,False
Meditite,307,280,30,40,55,40,55,60,False,6,16,Meditate Pokémon,183,153,262,3,9,12,False,False,False
Medicham,308,410,60,60,75,60,75,80,False,6,16,Meditate Pokémon,183,153,262,3,9,12,False,False,False
Medicham(Mega Medicham),308,510,60,100,85,80,85,100,True,6,16,Meditate Pokémon,183,153,153,6,9,12,False,False,False
Electrike,309,295,40,45,40,65,40,65,False,4,13,Lightning Pokémon,238,123,138,3,6,12,False,False,False
Manectric,310,475,70,75,60,105,60,105,False,4,13,Discharge Pokémon,238,123,138,3,6,12,False,False,False
Manectric(Mega Manectric),310,575,70,75,80,135,80,135,True,4,13,Discharge Pokémon,112,153,153,6,6,12,False,False,False
Plusle,311,405,60,50,40,85,75,95,False,4,13,Cheering Pokémon,167,153,123,3,5,12,False,False,False
Minun,312,405,60,40,50,75,85,95,False,4,13,Cheering Pokémon,138,153,283,3,5,12,False,False,False
Volbeat,313,430,65,73,75,47,85,85,False,1,13,Firefly Pokémon,104,252,174,3,2,9,False,False,False
Illumise,314,430,65,47,75,73,85,85,False,1,13,Firefly Pokémon,155,266,174,3,2,9,False,False,False
Roselia,315,400,50,60,45,100,80,65,False,10,15,Thorn Pokémon,149,169,119,3,5,8,False,False,False
Gulpin,316,302,70,43,53,43,53,40,False,15,13,Stomach Pokémon,126,244,80,3,1,12,False,False,False
Swalot,317,467,100,73,83,73,83,55,False,15,13,Poison Bag Pokémon,126,244,80,3,1,12,False,False,False
Carvanha,318,305,45,90,20,65,20,65,False,19,2,Savage Pokémon,200,153,232,3,15,12,False,False,False
Sharpedo,319,460,70,120,40,95,40,95,False,19,2,Brutal Pokémon,200,153,232,3,15,12,False,False,False
Sharpedo(Mega Sharpedo),319,560,70,140,70,110,65,105,True,19,2,Brutal Pokémon,246,153,153,6,15,12,False,False,False
Wailmer,320,400,130,70,35,70,35,60,False,19,13,Ball Whale Pokémon,288,155,175,3,6,15,False,False,False
Wailord,321,500,170,90,45,90,45,60,False,19,13,Float Whale Pokémon,288,155,175,3,6,15,False,False,False
Numel,322,305,60,60,40,65,45,35,False,7,11,Numb Pokémon,155,221,160,3,6,12,False,False,False
Camerupt,323,460,70,100,70,105,75,40,False,7,11,Eruption Pokémon,132,229,6,3,6,12,False,False,False
Camerupt(Mega Camerupt),323,560,70,120,100,145,105,20,True,7,11,Eruption Pokémon,217,153,153,6,6,12,False,False,False
Torkoal,324,470,70,85,140,85,70,20,False,7,13,Coal Pokémon,291,56,218,3,6,12,False,False,False
Spoink,325,330,60,25,35,70,80,60,False,16,13,Bounce Pokémon,265,160,80,3,6,12,False,False,False
Grumpig,326,470,80,45,65,90,110,80,False,16,13,Manipulate Pokémon,265,160,80,3,6,12,False,False,False
Spinda,327,360,60,60,60,60,60,60,False,14,13,Spot Panda Pokémon,160,259,35,3,6,9,False,False,False
Trapinch,328,290,45,100,45,45,45,10,False,11,13,Ant Pit Pokémon,100,9,217,3,2,4,False,False,False
Vibrava,329,340,50,70,50,50,50,70,False,11,3,Vibration Pokémon,120,153,153,3,2,4,False,False,False
Flygon,330,520,80,100,80,80,80,100,False,11,3,Mystic Pokémon,120,153,153,3,2,4,False,False,False
Cacnea,331,335,50,85,40,85,40,35,False,10,13,Cactus Pokémon,206,153,285,3,8,9,False,False,False
Cacturne,332,475,70,115,60,115,60,55,False,10,2,Scarecrow Pokémon,206,153,285,3,8,9,False,False,False
Swablu,333,310,45,40,60,40,75,50,False,14,8,Cotton Bird Pokémon,149,153,29,3,4,7,False,False,False
Altaria,334,490,75,70,90,70,105,80,False,3,8,Humming Pokémon,149,153,29,3,4,7,False,False,False
Altaria(Mega Altaria),334,590,75,110,110,110,105,80,True,3,5,Humming Pokémon,166,153,153,6,4,7,False,False,False
Zangoose,335,458,73,115,60,60,60,90,False,14,13,Cat Ferret Pokémon,106,153,269,3,6,12,False,False,False
Seviper,336,458,73,100,60,100,60,65,False,15,13,Fang Snake Pokémon,216,153,108,3,4,6,False,False,False
Lunatone,337,460,90,55,65,95,85,70,False,17,16,Meteorite Pokémon,120,153,153,3,10,12,False,False,False
Solrock,338,460,90,95,85,55,65,70,False,17,16,Meteorite Pokémon,120,153,153,3,10,12,False,False,False
Barboach,339,288,50,48,43,46,41,60,False,19,11,Whiskers Pokémon,155,8,99,3,15,12,False,False,False
Whiscash,340,468,110,78,73,76,71,60,False,19,11,Whiskers Pokémon,155,8,99,3,15,12,False,False,False
Corphish,341,308,43,80,65,50,35,35,False,19,13,Ruffian Pokémon,100,218,1,3,14,16,False,False,False
Crawdaunt,342,468,63,120,85,90,55,55,False,19,2,Rogue Pokémon,100,218,1,3,14,16,False,False,False
Baltoy,343,300,40,40,55,40,70,55,False,11,16,Clay Doll Pokémon,120,153,153,3,10,12,False,False,False
Claydol,344,500,60,70,105,70,120,75,False,11,16,Clay Doll Pokémon,120,153,153,3,10,12,False,False,False
Lileep,345,355,66,41,77,61,87,23,False,17,10,Sea Lily Pokémon,248,153,245,3,16,12,False,False,False
Cradily,346,495,86,81,97,81,107,43,False,17,10,Barnacle Pokémon,248,153,245,3,16,12,False,False,False
Anorith,347,355,45,95,50,40,50,75,False,17,1,Old Shrimp Pokémon,17,153,254,3,16,12,False,False,False
Armaldo,348,495,75,125,100,70,80,45,False,17,1,Plate Pokémon,17,153,254,3,16,12,False,False,False
Feebas,349,200,20,15,20,10,55,80,False,19,13,Fish Pokémon,254,155,1,3,4,14,False,False,False
Milotic,350,540,95,60,79,100,125,81,False,19,13,Tender Pokémon,134,33,42,3,4,14,False,False,False
Castform,351,420,70,70,70,70,70,70,False,14,13,Weather Pokémon,72,153,153,3,1,5,False,False,False
Castform(Sunny Form),351,420,70,70,70,70,70,70,False,7,13,Weather Pokémon,72,153,153,3,1,5,False,False,False
Castform(Rainy Form),351,420,70,70,70,70,70,70,False,19,13,Weather Pokémon,72,153,153,3,1,5,False,False,False
Castform(Snowy Form),351,420,70,70,70,70,70,70,False,12,13,Weather Pokémon,72,153,153,3,1,5,False,False,False
Kecleon,352,440,60,90,70,60,120,40,False,14,13,Color Swap Pokémon,30,153,179,3,6,12,False,False,False
Shuppet,353,295,44,75,35,63,33,45,False,9,13,Puppet Pokémon,111,75,41,3,1,12,False,False,False
Banette,354,455,64,115,65,83,63,65,False,9,13,Marionette Pokémon,111,75,41,3,1,12,False,False,False
Banette(Mega Banette),354,555,64,165,75,93,83,75,True,9,13,Marionette Pokémon,174,153,153,6,1,12,False,False,False
Duskull,355,295,20,40,90,30,90,25,False,9,13,Requiem Pokémon,120,153,75,3,1,12,False,False,False
Dusclops,356,455,40,70,130,60,130,25,False,9,13,Beckon Pokémon,175,153,75,3,1,12,False,False,False
Tropius,357,460,99,68,83,72,87,51,False,10,8,Fruit Pokémon,27,228,91,3,8,11,False,False,False
Chimecho,358,455,75,50,80,95,90,65,False,16,13,Wind Chime Pokémon,120,153,153,3,1,12,False,False,False
Absol,359,465,65,130,60,75,60,75,False,2,13,Disaster Pokémon,175,249,116,3,6,12,False,False,False
Absol(Mega Absol),359,565,65,150,60,115,60,115,True,2,13,Disaster Pokémon,129,153,153,6,6,12,False,False,False
Wynaut,360,260,95,23,48,23,48,23,False,16,13,Bright Pokémon,214,153,262,3,13,12,False,False,False
Snorunt,361,300,50,50,50,50,50,50,False,12,13,Snow Hat Pokémon,110,101,142,3,5,10,False,False,False
Glalie,362,480,80,80,80,80,80,80,False,12,13,Face Pokémon,110,101,142,3,5,10,False,False,False
Glalie(Mega Glalie),362,580,80,120,80,120,80,100,True,12,13,Face Pokémon,194,153,153,6,5,10,False,False,False
Spheal,363,290,70,40,50,55,50,25,False,12,19,Clap Pokémon,265,101,155,3,6,14,False,False,False
Sealeo,364,410,90,60,70,75,70,45,False,12,19,Ball Roll Pokémon,265,101,155,3,6,14,False,False,False
Walrein,365,530,110,80,90,95,90,65,False,12,19,Ice Break Pokémon,265,101,155,3,6,14,False,False,False
Clamperl,366,345,35,64,85,74,55,32,False,19,13,Bivalve Pokémon,218,153,191,3,14,12,False,False,False
Huntail,367,485,55,104,105,94,75,52,False,19,13,Deep Sea Pokémon,254,153,288,3,14,12,False,False,False
Gorebyss,368,485,55,84,105,114,75,52,False,19,13,South Sea Pokémon,254,153,99,3,14,12,False,False,False
Relicanth,369,485,100,90,130,45,65,55,False,19,17,Longevity Pokémon,254,198,247,3,14,15,False,False,False
Luvdisc,370,330,43,30,55,40,65,97,False,19,13,Rendezvous Pokémon,254,153,99,3,15,12,False,False,False
Bagon,371,300,45,75,60,40,30,50,False,3,13,Rock Head Pokémon,198,153,217,3,4,12,False,False,False
Shelgon,372,420,65,95,100,60,50,50,False,3,13,Endurance Pokémon,198,153,158,3,4,12,False,False,False
Salamence,373,600,95,135,80,110,80,100,False,3,8,Dragon Pokémon,112,153,144,3,4,12,False,False,False
Salamence(Mega Salamence),373,700,95,145,130,120,90,120,True,3,8,Dragon Pokémon,2,153,153,6,4,12,False,False,False
Beldum,374,300,40,55,80,35,60,30,False,18,16,Iron Ball Pokémon,28,153,122,3,10,12,False,False,False
Metang,375,420,60,75,100,55,80,50,False,18,16,Iron Claw Pokémon,28,153,122,3,10,12,False,False,False
Metagross,376,600,80,135,130,95,90,70,False,18,16,Iron Leg Pokémon,28,153,122,3,10,12,False,False,False
Metagross(Mega Metagross),376,700,80,145,150,105,110,110,True,18,16,Iron Leg Pokémon,268,153,153,6,10,12,False,False,False
Regirock,377,580,80,100,200,50,100,50,False,17,13,Rock Peak Pokémon,28,153,247,3,13,12,True,False,False
Regice,378,580,80,50,100,100,200,50,False,12,13,Iceberg Pokémon,28,153,101,3,13,12,True,False,False
Registeel,379,580,80,75,150,75,150,50,False,18,13,Iron Pokémon,28,153,122,3,13,12,True,False,False
Latias,380,600,80,80,90,110,130,110,False,3,16,Eon Pokémon,120,153,153,3,13,12,True,False,False
Latias(Mega Latias),380,700,80,100,120,140,150,110,True,3,16,Eon Pokémon,120,153,153,6,13,12,True,False,False
Latios,381,600,80,90,80,130,110,110,False,3,16,Eon Pokémon,120,153,153,3,13,12,True,False,False
Latios(Mega Latios),381,700,80,130,100,160,120,110,True,3,16,Eon Pokémon,120,153,153,6,13,12,True,False,False
Kyogre,382,670,100,100,90,150,140,90,False,19,13,Sea Basin Pokémon,55,153,153,3,13,12,False,True,False
Kyogre(Primal Kyogre),382,770,100,150,90,180,160,90,False,19,13,Sea Basin Pokémon,176,153,153,3,13,12,False,True,False
Groudon,383,670,100,150,140,100,90,90,False,11,13,Continent Pokémon,56,153,153,3,13,12,False,True,False
Groudon(Primal Groudon),383,770,100,180,160,150,90,90,False,11,7,Continent Pokémon,51,153,153,3,13,12,False,True,False
Rayquaza,384,680,105,150,90,150,90,95,False,3,8,Sky High Pokémon,4,153,153,3,13,12,False,True,False
Rayquaza(Mega Rayquaza),384,780,105,180,100,180,100,115,True,3,8,Sky High Pokémon,50,153,153,6,13,12,False,True,False
Jirachi,385,600,100,100,100,100,100,100,False,18,16,Wish Pokémon,212,153,153,3,13,12,False,False,True
